concentration,electric_field,gap_mm,pressure,ne,ni,Ar_794,ErrAr_794
1.0,4.1,0.57,0.05,81.03,80.05,80.80957669998766,0.9986389398565425
1.0,423.9,0.008,10.0,95.94,95.16,137.7006462372316,1.1980312103095965
1.0,43.3,0.1078,0.05,133.17,128.05,19.59900878576256,0.3836311413815365
1.0,43.3,0.1078,0.05,133.17,128.05,19.59900878576256,0.3836311413815365
1.0,43.3,0.075,1.0,93.34,92.55,133.38332976215983,1.195409985237915
1.0,432.9,0.0077,10.0,94.12,93.31,135.31661708457287,1.199042582207045
1.0,44.1,0.05,0.2,96.89,95.54,40.25183197440396,0.6445451541333882
1.0,446.7,0.007,10.0,77.95,77.14,132.53367543296986,1.3039323533857712
1.0,48.1,0.0638,1.0,108.64,107.78,122.12812960235641,1.060261458025179
1.0,480.6,0.0065,10.0,112.19,111.33,122.95213477137,1.0468656811867763
1.0,490.8,0.0062,10.0,109.39,108.57,124.19782429838193,1.0655361361794247
1.0,5.3,0.4023,0.05,82.31,81.32,64.28137528854332,0.883723245968574
1.0,5.3,0.4023,0.05,82.31,81.32,64.28137528854332,0.883723245968574
1.0,501.2,0.0056,10.0,72.17,71.26,120.0360260496051,1.2896665980701008
1.0,533.7,0.0046,1.0,40.45,38.76,24.969097651421507,0.7856736010912585
1.0,533.7,0.0055,10.0,97.41,96.51,113.46884303459605,1.0792859951193732
1.0,54.8,0.05,1.0,88.69,87.78,110.49723756906077,1.116190656963769
1.0,562.3,0.0046,10.0,70.07,69.17,107.37833594976453,1.237919134705377
1.0,568.3,0.005,10.0,104.33,103.38,105.56886801495256,1.0059197352204865
1.0,59.3,0.0456,1.0,94.61,93.72,100.49677623929817,1.0306413058449555
1.0,592.6,0.0047,10.0,109.64,108.67,102.81831448376505,0.9683909600339213
1.0,6.6,0.3175,0.05,79.46,78.46,56.8587968789328,0.8459107665142743
1.0,6.6,0.3175,0.05,79.46,78.46,56.8587968789328,0.8459107665142743
1.0,65.8,0.1059,0.05,112.09,106.23,15.951467570702114,0.37723926330388036
1.0,65.8,0.1059,0.05,112.09,106.23,15.951467570702114,0.37723926330388036
1.0,65.8,0.0393,1.0,86.17,85.24,94.61529534640826,1.0478584700111242
1.0,657.9,0.004,10.0,103.92,102.99,93.64896073903002,0.9492965708343745
1.0,730.5,0.0036,1.0,21.13,19.55,20.681495504022717,0.9893300975090806
1.0,761.8,0.0032,10.0,99.04,98.12,84.7435379644588,0.9250133058274258
1.0,8.1,0.2562,0.05,72.19,71.11,48.71865909405735,0.8215029784281888
1.0,8.1,0.2562,0.05,72.19,71.11,48.71865909405735,0.8215029784281888
1.0,81.1,0.0298,1.0,103.19,102.21,77.98236263203799,0.8693194332818522
1.0,882.0,0.0026,10.0,95.21,94.21,77.32381052410462,0.9011878781267781
1.0,97.9,0.6667,10.0,52.1,87.72,1750.767754318618,5.796894652042872
0.5,17.4,0.57,1.0,97.5,97.91,385.2102564102564,1.9876806646744287
0.5,184.5,0.05,10.0,124.21,124.77,358.75533370904117,1.6994989570008456
0.5,4.5,0.57,0.05,156.94,155.95,74.7610551803237,0.6901935351551391
0.5,44.3,0.05,0.2,98.01,96.79,39.61840628507295,0.635789433784936
0.5,55.9,0.05,1.0,94.27,93.33,109.4091439482338,1.0773084255740377
0.5,96.8,0.57,10.0,84.3,104.67,1359.3357058125741,4.015591950962883
0.2,17.3,0.57,1.0,93.3,92.98,395.3590568060022,2.0585196837488797
0.2,181.7,0.05,10.0,103.7,103.25,371.22468659594983,1.8920344792178547
0.2,4.3,0.57,0.05,114.92,113.9,76.89697180647407,0.8180066045809968
0.2,44.3,0.05,0.2,101.32,100.02,39.636794315041456,0.6254630682098247
0.2,56.3,0.05,1.0,103.95,102.97,109.38912938912938,1.0258286782147894
0.2,95.5,0.57,10.0,144.05,156.34,1242.276987157237,2.936652703691422
0.1,17.2,0.57,1.0,92.13,91.4,395.9947899706936,2.0732143224827775
0.1,180.8,0.05,10.0,92.45,91.68,363.980530016225,1.984200792627814
0.1,4.3,0.57,0.05,120.24,119.24,75.06653359946773,0.7901302645717646
0.1,44.5,0.05,0.2,97.4,96.13,39.40451745379877,0.6360533265598989
0.1,55.6,0.05,1.0,87.55,86.56,112.2215876641919,1.1321660537749292
0.1,95.4,0.57,10.0,218.4,226.79,1172.4175824175825,2.316940304303691
100.0,358.4,0.57,10.0,2882.86,25091.95,0.0,0.0
100.0,39.4,0.57,1.0,92.87,203.97,0.0,0.0
100.0,400.2,0.05,10.0,129.15,257.92,0.0,0.0
100.0,47.7,0.05,0.2,101.45,100.5,0.0,0.0
100.0,6.0,0.57,0.05,340.29,344.47,0.0,0.0
100.0,73.9,0.05,1.0,97.03,101.94,0.0,0.0
