concentration,electric_field,gap_mm,pressure,ne,ni,Ar_3rd,ErrAr_3rd
0.2,181.7,0.05,10.0,103.7,103.25,0.0,0.0
0.2,4.3,0.57,0.05,114.92,113.9,0.01740341106856944,0.01230606998236247
0.2,44.3,0.05,0.2,101.32,100.02,0.29609159099881566,0.05405868115921498
0.2,56.3,0.05,1.0,103.95,102.97,0.0,0.0
0.2,95.5,0.57,10.0,144.05,156.34,0.0,0.0
0.1,17.2,0.57,1.0,92.13,91.4,0.0,0.0
0.1,180.8,0.05,10.0,92.45,91.68,0.0,0.0
0.1,4.3,0.57,0.05,120.24,119.24,0.008316699933466402,0.008316699933466402
0.1,44.5,0.05,0.2,97.4,96.13,0.27720739219712526,0.05334858750212147
0.1,55.6,0.05,1.0,87.55,86.56,0.0,0.0
0.1,95.4,0.57,10.0,218.4,226.79,0.0,0.0
100.0,358.4,0.57,10.0,2882.86,25091.95,0.0,0.0
100.0,39.4,0.57,1.0,92.87,203.97,0.0,0.0
100.0,400.2,0.05,10.0,129.15,257.92,0.0,0.0
100.0,47.7,0.05,0.2,101.45,100.5,0.0,0.0
100.0,6.0,0.57,0.05,340.29,344.47,0.0,0.0
100.0,73.9,0.05,1.0,97.03,101.94,0.0,0.0
