concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
1.0,199.5,0.0404,10.0,116.4,117.71,680.9965635738831,2.4187777784154507
1.0,2.3,1.3952,0.05,111.59,110.76,230.9436329420199,1.4386010001207232
1.0,2.3,1.3952,0.05,111.59,110.76,230.9436329420199,1.4386010001207232
1.0,2.3,1.3967,0.05,105.4,104.51,227.07779886148006,1.467800503940805
1.0,2.3,1.3967,0.05,105.4,104.51,227.07779886148006,1.467800503940805
1.0,208.1,0.0107,1.0,101.78,100.55,70.42640990371389,0.8318337782871577
1.0,223.9,0.0299,10.0,111.53,111.75,575.836097910876,2.2722368152226773
1.0,226.2,0.0291,10.0,125.39,125.79,553.9277454342451,2.1018180059206655
1.0,231.0,0.0096,1.0,97.97,96.72,62.23333673573543,0.7970122370639979
1.0,25.7,0.2222,1.0,115.82,115.86,473.68330167501296,2.022331084583081
1.0,251.2,0.0227,10.0,109.4,109.36,481.43510054844603,2.097781322415861
1.0,259.2,0.0211,10.0,100.27,99.95,452.4483893487584,2.1242176634345022
1.0,28.5,0.118,0.05,125.01,121.53,39.028877689784814,0.558754011202314
1.0,28.5,0.118,0.05,125.01,121.53,39.028877689784814,0.558754011202314
1.0,281.8,0.0175,10.0,109.63,109.29,409.1398339870474,1.931840093753635
1.0,284.8,0.008,1.0,87.39,85.93,56.34511957889919,0.8029662337955754
1.0,297.0,0.0156,10.0,110.72,110.28,379.70556358381504,1.8518697676711813
1.0,3.5,0.7054,0.05,75.28,74.3,154.63602550478214,1.433228825379166
1.0,3.5,0.7054,0.05,75.28,74.3,154.63602550478214,1.433228825379166
1.0,3.9,0.6076,0.05,82.84,81.85,142.0328343795268,1.3094060156068743
1.0,3.9,0.6076,0.05,82.84,81.85,142.0328343795268,1.3094060156068743
1.0,31.6,0.1143,0.05,128.21,124.03,37.383979408782466,0.5399851472013407
1.0,31.6,0.1143,0.05,128.21,124.03,37.383979408782466,0.5399851472013407
1.0,31.6,0.1361,1.0,111.17,110.55,353.17981469820995,1.7823957352307305
1.0,316.2,0.0074,1.0,84.37,82.66,52.77942396586464,0.7909304549343544
1.0,316.2,0.0137,10.0,104.04,103.48,346.9723183391003,1.8261953902617085
1.0,340.3,0.0118,10.0,102.93,102.22,320.42164577868454,1.7643711059692557
1.0,35.1,0.1129,1.0,114.39,113.72,309.8172917213043,1.6457307982516085
1.0,351.1,0.0112,10.0,109.45,108.68,312.61763362265873,1.69004727342485
1.0,354.8,0.0108,10.0,81.69,80.89,305.41069898396375,1.9335600993133242
1.0,366.1,0.0103,10.0,107.79,107.09,291.0752388904351,1.6432869082399435
1.0,389.9,0.006,1.0,63.32,61.7,45.041061276058116,0.8434005004939159
1.0,389.9,0.009,10.0,88.79,87.94,280.7410744453204,1.7781604682392642
1.0,389.9,0.0093,10.0,98.72,97.97,275.56726094003244,1.670749102108524
1.0,398.1,0.0086,10.0,94.85,94.0,268.78228782287823,1.6833780326067354
1.0,4.1,0.57,0.05,81.03,80.05,137.7514500802172,1.3038426110879615
1.0,4.1,0.57,0.05,81.03,80.05,137.7514500802172,1.3038426110879615
1.0,423.9,0.008,10.0,95.94,95.16,250.11465499270378,1.6146177127981045
1.0,43.3,0.1078,0.05,133.17,128.05,31.31335886460915,0.48491054414546647
1.0,43.3,0.1078,0.05,133.17,128.05,31.31335886460915,0.48491054414546647
1.0,43.3,0.075,1.0,93.34,92.55,238.77223055496034,1.5994033818911093
1.0,432.9,0.0077,10.0,94.12,93.31,243.76328091797703,1.6093228736803291
1.0,44.1,0.05,0.2,96.89,95.54,66.05428836825266,0.8256786046031582
1.0,446.7,0.007,10.0,77.95,77.14,239.33290570878768,1.7522382120809619
1.0,48.1,0.0638,1.0,108.64,107.78,217.59941089837997,1.415252657863223
1.0,480.6,0.0065,10.0,112.19,111.33,218.691505481772,1.3961718684603868
1.0,490.8,0.0062,10.0,109.39,108.57,220.79714781972757,1.4207181161096838
1.0,5.3,0.4023,0.05,82.31,81.32,108.46798687887255,1.1479540090893174
1.0,5.3,0.4023,0.05,82.31,81.32,108.46798687887255,1.1479540090893174
1.0,501.2,0.0056,10.0,72.17,71.26,213.87002909796314,1.7214587147719542
1.0,533.7,0.0046,1.0,40.45,38.76,40.56860321384425,1.0014649740681876
1.0,533.7,0.0055,10.0,97.41,96.51,199.48670567703522,1.4310513165569552
1.0,54.8,0.05,1.0,88.69,87.78,194.04667944525877,1.4791621331476037
1.0,562.3,0.0046,10.0,70.07,69.17,189.59611816754676,1.6449346989040137
1.0,568.3,0.005,10.0,104.33,103.38,185.3158247867344,1.3327590791392951
1.0,59.3,0.0456,1.0,94.61,93.72,176.5986682168904,1.3662343204360237
1.0,592.6,0.0047,10.0,109.64,108.67,180.71871579715432,1.2838581798430724
1.0,6.6,0.3175,0.05,79.46,78.46,93.77045054115278,1.086322365444831
1.0,6.6,0.3175,0.05,79.46,78.46,93.77045054115278,1.086322365444831
1.0,65.8,0.1059,0.05,112.09,106.23,26.773128735837272,0.48872677044526136
1.0,65.8,0.1059,0.05,112.09,106.23,26.773128735837272,0.48872677044526136
1.0,65.8,0.0393,1.0,86.17,85.24,164.59324590924916,1.3820633758964123
1.0,657.9,0.004,10.0,103.92,102.99,164.40531177829098,1.2577906253812168
1.0,730.5,0.0036,1.0,21.13,19.55,32.70231897775675,1.2440548441168875
1.0,761.8,0.0032,10.0,99.04,98.12,144.093295638126,1.206192354621013
1.0,8.1,0.2562,0.05,72.19,71.11,80.5236182296717,1.0561439599466351
1.0,8.1,0.2562,0.05,72.19,71.11,80.5236182296717,1.0561439599466351
1.0,81.1,0.0298,1.0,103.19,102.21,134.27657718771198,1.1407259594582546
1.0,882.0,0.0026,10.0,95.21,94.21,130.65854427055982,1.1714604342904054
1.0,97.9,0.6667,10.0,52.1,87.72,5565.335892514395,10.33538904207036
0.5,17.4,0.57,1.0,97.5,97.91,866.3589743589744,2.980894676158226
0.5,184.5,0.05,10.0,124.21,124.77,786.1122292891072,2.5157298066246456
0.5,4.5,0.57,0.05,156.94,155.95,125.76780935389321,0.895195569353803
0.5,44.3,0.05,0.2,98.01,96.79,65.22803795531068,0.8157967353388703
0.5,55.9,0.05,1.0,94.27,93.33,190.26201336586402,1.420657179826728
0.5,96.8,0.57,10.0,84.3,104.67,4381.364175563464,7.209263330236395
0.2,17.3,0.57,1.0,93.3,92.98,889.871382636656,3.0883235871862613
0.2,181.7,0.05,10.0,103.7,103.25,817.7145612343297,2.8080930039008143
0.2,4.3,0.57,0.05,114.92,113.9,129.69892098851375,1.062356728484602
0.2,44.3,0.05,0.2,101.32,100.02,64.97236478484011,0.8007865062986249
0.2,56.3,0.05,1.0,103.95,102.97,188.45598845598846,1.3464577311950905
0.2,95.5,0.57,10.0,144.05,156.34,4028.4068031933352,5.28822626765532
0.1,17.2,0.57,1.0,92.13,91.4,890.0032562683166,3.108101995847095
0.1,180.8,0.05,10.0,92.45,91.68,806.5873445105462,2.953739862046041
0.1,4.3,0.57,0.05,120.24,119.24,128.87558216899535,1.0352871802791375
0.1,44.5,0.05,0.2,97.4,96.13,64.31211498973306,0.8125814758689682
0.1,55.6,0.05,1.0,87.55,86.56,194.75728155339806,1.4914846112366231
0.1,95.4,0.57,10.0,218.4,226.79,3812.197802197802,4.177932280678006
100.0,358.4,0.57,10.0,2882.86,25091.95,0.0,0.0
100.0,39.4,0.57,1.0,92.87,203.97,0.0,0.0
100.0,400.2,0.05,10.0,129.15,257.92,0.0,0.0
100.0,47.7,0.05,0.2,101.45,100.5,0.0,0.0
100.0,6.0,0.57,0.05,340.29,344.47,0.0,0.0
100.0,73.9,0.05,1.0,97.03,101.94,0.0,0.0
