concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4
0.5,44.3,0.05,0.2,98.01,96.79,0.49994898479746963,0.07142128354249566
0.5,55.9,0.05,1.0,94.27,93.33,0.32884268590219584,0.05906188992075975
0.5,96.8,0.57,10.0,84.3,104.67,0.40332147093712933,0.06916906162331318
0.2,17.3,0.57,1.0,93.3,92.98,0.11789924973204716,0.035547961311419074
0.2,181.7,0.05,10.0,103.7,103.25,0.09643201542912247,0.030494480811652645
0.2,4.3,0.57,0.05,114.92,113.9,0.06961364427427776,0.02461213996472494
0.2,44.3,0.05,0.2,101.32,100.02,0.1381760757994473,0.036929109620745575
0.2,56.3,0.05,1.0,103.95,102.97,0.0962000962000962,0.030421141511961323
0.2,95.5,0.57,10.0,144.05,156.34,0.15966678236723358,0.03329282556968218
0.1,17.2,0.57,1.0,92.13,91.4,0.054271138608488007,0.024270791028978507
0.1,180.8,0.05,10.0,92.45,91.68,0.02163331530557058,0.015297063952115685
0.1,4.3,0.57,0.05,120.24,119.24,0.07485029940119761,0.0249500998003992
0.1,44.5,0.05,0.2,97.4,96.13,0.061601642710472276,0.02514876532631599
0.1,55.6,0.05,1.0,87.55,86.56,0.03426613363792119,0.019783561479941487
0.1,95.4,0.57,10.0,218.4,226.79,0.07326007326007326,0.018315018315018316
100.0,358.4,0.57,10.0,2882.86,25091.95,867.7285750955648,0.5486307853556429
100.0,39.4,0.57,1.0,92.87,203.97,218.86508021966188,1.5351489329580523
100.0,400.2,0.05,10.0,129.15,257.92,198.9005032907472,1.2409970118249585
100.0,47.7,0.05,0.2,101.45,100.5,91.80877279448003,0.9512968647763261
100.0,6.0,0.57,0.05,340.29,344.47,97.66375738340827,0.5357252558968806
100.0,73.9,0.05,1.0,97.03,101.94,103.41131608780789,1.0323596387213154
