file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3952mm_100npe.root,2.3,0.05,1.3952,ar,99.0,cf4,1.0,1.0,111.59,71.34594833229384,110.76,71.43480746227091,100
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3967mm_100npe copy.root,2.3,0.05,1.3967,ar,99.0,cf4,1.0,1.0,105.4,65.99647985715112,104.51,66.06050104245197,100
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3967mm_100npe.root,2.3,0.05,1.3967,ar,99.0,cf4,1.0,1.0,105.4,65.99647985715112,104.51,66.06050104245197,100
ar_99.0_cf4_1.0_208.1kVcm_1.000bar_0.0107mm_100npe.root,208.1,1.0,0.0107,ar,99.0,cf4,1.0,1.0,101.78,46.48222860145128,100.55,46.418251156242846,100
ar_99.0_cf4_1.0_223.9kVcm_10.000bar_0.0299mm_100npe.root,223.9,10.0,0.0299,ar,99.0,cf4,1.0,1.0,111.53,106.6225718517558,111.75,107.67143952269278,100
ar_99.0_cf4_1.0_226.2kVcm_10.000bar_0.0291mm_100npe.root,226.2,10.0,0.0291,ar,99.0,cf4,1.0,1.0,125.39,119.01794237030234,125.79,120.3679791474477,100
ar_99.0_cf4_1.0_231.0kVcm_1.000bar_0.0096mm_100npe.root,231.0,1.0,0.0096,ar,99.0,cf4,1.0,1.0,97.97,37.99507012146909,96.72,37.911401232799925,100
ar_99.0_cf4_1.0_25.7kVcm_1.000bar_0.2222mm_100npe.root,25.7,1.0,0.2222,ar,99.0,cf4,1.0,1.0,115.82,90.57040121230322,115.86,91.39524776010684,100
ar_99.0_cf4_1.0_251.2kVcm_10.000bar_0.0227mm_100npe.root,251.2,10.0,0.0227,ar,99.0,cf4,1.0,1.0,109.4,97.00536275918154,109.36,97.84140124701709,100
ar_99.0_cf4_1.0_259.2kVcm_10.000bar_0.0211mm_100npe.root,259.2,10.0,0.0211,ar,99.0,cf4,1.0,1.0,100.27,84.48583109945511,99.95,84.99035893035817,100
ar_99.0_cf4_1.0_28.5kVcm_0.050bar_0.1180mm_100npe copy.root,28.5,0.05,0.118,ar,99.0,cf4,1.0,1.0,125.01,73.18752653563338,121.53,71.78903647198337,100
ar_99.0_cf4_1.0_28.5kVcm_0.050bar_0.1180mm_100npe.root,28.5,0.05,0.118,ar,99.0,cf4,1.0,1.0,125.01,73.18752653563338,121.53,71.78903647198337,100
ar_99.0_cf4_1.0_281.8kVcm_10.000bar_0.0175mm_100npe.root,281.8,10.0,0.0175,ar,99.0,cf4,1.0,1.0,109.63,79.85285141300764,109.29,80.36071393059137,100
ar_99.0_cf4_1.0_284.8kVcm_1.000bar_0.0080mm_100npe.root,284.8,1.0,0.008,ar,99.0,cf4,1.0,1.0,87.39,42.432333535794726,85.93,42.29890153073802,100
ar_99.0_cf4_1.0_297.0kVcm_10.000bar_0.0156mm_100npe.root,297.0,10.0,0.0156,ar,99.0,cf4,1.0,1.0,110.72,82.04606737508611,110.28,82.47731001109742,100
ar_99.0_cf4_1.0_3.5kVcm_0.050bar_0.7054mm_100npe copy.root,3.5,0.05,0.7054,ar,99.0,cf4,1.0,1.0,75.28,47.27548321414931,74.3,47.27065846288954,100
ar_99.0_cf4_1.0_3.5kVcm_0.050bar_0.7054mm_100npe.root,3.5,0.05,0.7054,ar,99.0,cf4,1.0,1.0,75.28,47.27548321414931,74.3,47.27065846288954,100
ar_99.0_cf4_1.0_3.9kVcm_0.050bar_0.6076mm_100npe copy.root,3.9,0.05,0.6076,ar,99.0,cf4,1.0,1.0,82.84,48.20510053066705,81.85,48.21089507611743,100
ar_99.0_cf4_1.0_3.9kVcm_0.050bar_0.6076mm_100npe.root,3.9,0.05,0.6076,ar,99.0,cf4,1.0,1.0,82.84,48.20510053066705,81.85,48.21089507611743,100
ar_99.0_cf4_1.0_31.6kVcm_0.050bar_0.1143mm_100npe copy.root,31.6,0.05,0.1143,ar,99.0,cf4,1.0,1.0,128.21,83.63621261514692,124.03,81.84926463452265,100
