Gas,Proceso,Energia,Eventos,Error%
NITROGEN,O3 1PI V=0-3 F=0.0828,13.628,0.1951,2.26397
NITROGEN,C!1SIG V=4-6 F=0.1390,14.09,0.3334,1.73188
NITROGEN,B!1SIG V=11-24 F=0.2650,14.232,0.6005,1.29046
NITROGEN,E!1SIG F=0.0108,14.36,0.0237,6.4957
NITROGEN,E 1PI F=0.0237,14.45,0.0526,4.36021
NITROGEN,SINGLET LEVEL F=0.0117,14.839,0.0236,6.50945
NITROGEN,SUM HIGH SINGLETS F=0.1152,15.2,0.2294,2.08787
NITROGEN,NEUTRAL DISS ABOVE IONIS. ENERGY,15.6,0.6315,1.25838
NITROGEN,NEUTRAL DISS ABOVE IONIS. ENERGY,16.6,0.3033,1.81578
NITROGEN,BREMSSTRAHLUNG FROM NITROGEN ATOMS,,0.0,0.0
