concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
5.0,110.0,0.0202,1.0,91.764,90.832,14.047912629910165,0.393266053802443,603.6528976572133,2.5779483174595765,18.969085784745467,0.456986911672478,0.0,0.0
10.0,40.0,0.0938,1.0,81.922,82.772,25.781665297443578,0.5581022308244863,1530.9283332527907,4.300665903970111,82.33460590537862,0.9973543380643414,0.0,0.0
10.0,60.0,0.0473,1.0,97.17,96.9,25.799793601651185,0.5159958720330237,995.9133126934984,3.2058919453174934,59.85552115583075,0.7859414969931794,0.0,0.0
10.0,70.0,0.0378,1.0,100.068,99.564,27.600337471375198,0.5265092773324156,855.9619942951268,2.932081737161787,52.58928930135391,0.7267708213862658,0.0,0.0
10.0,80.0,0.0313,1.0,103.206,102.566,27.601739367821693,0.5187600411217373,757.4244876469785,2.717490043522425,49.27558840161457,0.6931292080095244,0.0,0.0
10.0,90.0,0.0267,1.0,98.384,97.654,29.727404919409345,0.551738742622901,691.1954451430561,2.660451923167771,46.07082147172671,0.6868595792382906,0.0,0.0
10.0,110.0,0.0204,1.0,91.784,90.93,29.539205982623994,0.56996188364016,576.9163092488727,2.5188529411431713,40.39370944682722,0.6665047871770267,0.0,0.0
33.0,40.0,0.1307,1.0,102.868,112.302,95.51922494701786,0.9222563402869598,1205.499456821784,3.2763460359974976,294.2334063507328,1.6186473644379946,0.0,0.0
33.0,60.0,0.0534,1.0,98.222,99.888,99.65160980297934,0.9988160228445393,784.6988627262533,2.802817708810977,214.07976934166265,1.4639665553764944,0.0,0.0
33.0,70.0,0.0409,1.0,95.198,95.954,101.91341684557185,1.0305857647090968,686.9645871980324,2.6756889991422432,192.02951414219314,1.4146612241526855,0.0,0.0
33.0,80.0,0.0332,1.0,91.066,91.224,102.59361571516267,1.0604876428088745,611.3303516618433,2.5887101322636608,175.17320003507848,1.3857320962080577,0.0,0.0
33.0,90.0,0.028,1.0,89.176,89.01,106.32513200763958,1.0929456471870853,556.2970452758117,2.49996527394332,166.05999325918435,1.365881766187838,0.0,0.0
33.0,110.0,0.0214,1.0,95.458,94.952,110.58218889544192,1.0791716620987024,460.9486898643525,2.2033030419433435,143.98854157890304,1.231436176783509,0.0,0.0
67.0,40.0,0.2255,1.0,94.194,124.156,245.34456651309642,1.4057379391585794,671.453655079094,2.325541880060484,698.9754824575533,2.3727234098936236,0.0,0.0
67.0,60.0,0.0653,1.0,97.094,102.746,253.09987736748877,1.5695078987256466,444.7569735074845,2.080553660922236,511.05639148969306,2.2302417954595586,0.0,0.0
67.0,70.0,0.0475,1.0,93.522,96.284,253.03269494412362,1.621105422208703,386.6582194341739,2.0039485228242957,458.2900585767105,2.1816905782924354,0.0,0.0
67.0,80.0,0.0374,1.0,91.618,93.112,256.486811581751,1.6597003738681366,341.92155683477966,1.916286382964044,423.1033593951371,2.131672140031463,0.0,0.0
67.0,90.0,0.0309,1.0,94.13,95.064,262.3706134814441,1.6613056930229093,310.4960868467559,1.8072574492846867,384.7828831103257,2.0118696082939374,0.0,0.0
67.0,110.0,0.023,1.0,91.674,91.812,265.3139023221365,1.6999270306626628,263.83261447305364,1.6951749129139644,339.8793186075894,1.9240335710199472,0.0,0.0
100.0,40.0,0.5086,1.0,88.158,178.658,497.88422572736744,1.6693713257185065,0.0,0.0,1302.1751055088494,2.6997494429589963,0.0,0.0
100.0,60.0,0.0813,1.0,89.368,98.914,494.3284064945306,2.2355217600881985,0.0,0.0,942.6370382352346,3.087047896152085,0.0,0.0
100.0,70.0,0.0559,1.0,89.29,94.488,492.53873507747016,2.2831364475929385,0.0,0.0,832.5607484548302,2.968380963373475,0.0,0.0
100.0,80.0,0.0428,1.0,88.768,91.91,490.5777390925906,2.3103221167236443,0.0,0.0,755.8154716570558,2.8676523885382306,0.0,0.0
100.0,90.0,0.0347,1.0,92.512,94.402,488.82438931378573,2.2755471336029576,0.0,0.0,697.6970826889261,2.7185846214735876,0.0,0.0
100.0,110.0,0.025,1.0,92.312,93.082,484.4438237253175,2.281333924067759,0.0,0.0,599.3854880642874,2.53758301565409,0.0,0.0
